Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: Progress,Store: Audio Check 1,Store: Audio Check 2,Store: Audio Check Redirect
1,1719927302837,02/07/2024 13:35:02,1719934502837,2,02/07/2024 17:35:02,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719927305539,02/07/2024 13:35:05,1719934505539,2,02/07/2024 17:35:05,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,b1zo9t,1,info,audio started,2449.2,2433.34,2449.2,2449.2,2433.34,2449.2,1,2449.2,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,,,,
3,1719927308076,02/07/2024 13:35:08,1719934508076,2,02/07/2024 17:35:08,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,b1zo9t,1,response,continue,4985.2,4983.34,4985.2,4985.2,4983.34,4985.2,1,4985.2,0,0,,Click Response,Continue Button,4,object-4,Instructions1,,1,,,
4,1719927309032,02/07/2024 13:35:09,1719934509032,2,02/07/2024 17:35:09,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,b1zo9t,1,info,audio finished,5941.2,5933.34,5941.2,5941.2,5933.34,5941.2,1,5941.2,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,1,,,
5,1719927311332,02/07/2024 13:35:11,1719934511332,2,02/07/2024 17:35:11,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,info,audio started,2308.8599999999997,2299.999999999999,2308.8599999999997,2308.8599999999997,2299.999999999999,2308.8599999999997,1,2308.8599999999997,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
6,1719927314771,02/07/2024 13:35:14,1719934514771,2,02/07/2024 17:35:14,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,info,audio finished,5746.86,5733.319999999999,5746.86,5746.86,5733.319999999999,5746.86,1,5746.86,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
7,1719927316207,02/07/2024 13:35:16,1719934516207,2,02/07/2024 17:35:16,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,response,continue,7182.86,7166.659999999999,7182.86,7182.86,7166.659999999999,7182.86,1,7182.86,0,0,ResponseProgress,Click Response,Continue Button,2,object-93,Instructions1,,2,,,
8,1719927318578,02/07/2024 13:35:18,1719934518578,2,02/07/2024 17:35:18,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,response,continue,9553.86,9550,9553.86,9553.86,9550,9553.86,1,9553.86,0,0,ResponseProgress,Click Response,Continue Button,2,object-93,Instructions1,,3,,,
9,1719927318579,02/07/2024 13:35:18,1719934518579,2,02/07/2024 17:35:18,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,response,Ja,4366.659999999999,9550,9554.86,4366.659999999999,9550,9554.86,1,4366.659999999999,5188.200000000002,0,AudioCheck1,Dropdown,Dropdown,7,object-20,Instructions1,,3,Ja,,
10,1719927318579,02/07/2024 13:35:18,1719934518579,2,02/07/2024 17:35:18,86579,59,task-tole,,38683497,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Audio check male vs. female,9,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,s26p9w,2,response,Ja,8950,9550,9554.86,8950,9550,9554.86,1,8950,604.8600000000006,0,AudioCheck2,Dropdown,Dropdown,8,object-21,Instructions1,,3,Ja,Ja,
