Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: Progress,Store: Audio Check 1,Store: Audio Check 2,Store: Audio Check Redirect
1,1719926939623,02/07/2024 13:28:59,1719934139623,2,02/07/2024 17:28:59,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719926942906,02/07/2024 13:29:02,1719934142906,2,02/07/2024 17:29:02,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,info,audio started,2862.7,2846.2,2862.7,2862.7,2846.2,2862.7,1,2862.7,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,,,,
3,1719926946324,02/07/2024 13:29:06,1719934146324,2,02/07/2024 17:29:06,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,info,audio finished,6301.099999976158,6288.3,6301.099999976158,6301.099999976158,6288.3,6301.099999976158,1,6301.099999976158,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,,,,
4,1719926949842,02/07/2024 13:29:09,1719934149842,2,02/07/2024 17:29:09,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,info,audio started,9813.099999999999,9796.599999999999,9813.099999999999,9813.099999999999,9796.599999999999,9813.099999999999,1,9813.099999999999,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,,,,
5,1719926951613,02/07/2024 13:29:11,1719934151613,2,02/07/2024 17:29:11,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,response,continue,11583.9,11567.3,11583.9,11583.9,11567.3,11583.9,1,11583.9,0,0,,Click Response,Continue Button,4,object-4,Instructions1,,1,,,
6,1719926953067,02/07/2024 13:29:13,1719934153067,2,02/07/2024 17:29:13,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio started,1472.699999999999,1456.199999999999,1472.699999999999,1472.699999999999,1456.199999999999,1472.699999999999,1,1472.699999999999,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
7,1719926956487,02/07/2024 13:29:16,1719934156487,2,02/07/2024 17:29:16,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio finished,4897.0000000238415,4881.699999999999,4897.0000000238415,4897.0000000238415,4881.699999999999,4897.0000000238415,1,4897.0000000238415,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
8,1719926961409,02/07/2024 13:29:21,1719934161409,2,02/07/2024 17:29:21,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio started,9813.299999999997,9796.699999999999,9813.299999999997,9813.299999999997,9796.699999999999,9813.299999999997,1,9813.299999999997,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
9,1719926964833,02/07/2024 13:29:24,1719934164833,2,02/07/2024 17:29:24,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio finished,13243.299999976158,13238.699999999999,13243.299999976158,13243.299999976158,13238.699999999999,13243.299999976158,1,13243.299999976158,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
10,1719926965613,02/07/2024 13:29:25,1719934165613,2,02/07/2024 17:29:25,86579,59,task-ia81,,38682884,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Audio check only male, only female",10,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio started,14016.599999999997,13999.999999999998,14016.599999999997,14016.599999999997,13999.999999999998,14016.599999999997,1,14016.599999999997,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
