Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Audio,Spreadsheet: Variety,Manipulation: Spreadsheet,Store: Progress
1,1719927551429,02/07/2024 13:39:11,1719934751429,2,02/07/2024 17:39:11,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719927571325,02/07/2024 13:39:31,1719934771325,2,02/07/2024 17:39:31,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Political level,Screen 1,ptfor7,1,continue,,19902.700000095367,19891.1,19902.700000095367,19902.700000095367,19891.1,19902.700000095367,1,19902.700000095367,0,0,,Click To Continue,Continue Button,1,object-19,,Political level,,,,43
3,1719927571337,02/07/2024 13:39:31,1719934771337,2,02/07/2024 17:39:31,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Political level,Screen 1,ptfor7,1,response,regional (z.B. in einem Landtag),18997.6,19891.1,19907.6,18997.6,19891.1,19907.6,1,18997.6,910,0,,Dropdown,Dropdown,6,object-18,,Political level,,,,43
4,1719927574298,02/07/2024 13:39:34,1719934774298,2,02/07/2024 17:39:34,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,2978.7000000000007,2962.2000000000007,2978.7000000000007,2978.7000000000007,2962.2000000000007,2978.7000000000007,1,2978.7000000000007,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,MARA17_non-st_A2.mp3,non-st,,43
5,1719927583441,02/07/2024 13:39:43,1719934783441,2,02/07/2024 17:39:43,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,12129.400000047684,12113.600000000002,12129.400000047684,12129.400000047684,12113.600000000002,12129.400000047684,1,12129.400000047684,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,MARA17_non-st_A2.mp3,non-st,,43
6,1719927586059,02/07/2024 13:39:46,1719934786059,2,02/07/2024 17:39:46,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,continue,,14744.7,14728.2,14744.7,14744.7,14728.2,14744.7,1,14744.7,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,MARA17_non-st_A2.mp3,non-st,,43
7,1719927586062,02/07/2024 13:39:46,1719934786062,2,02/07/2024 17:39:46,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,response,3,7264.899999999998,14728.2,14744.7,7264.899999999998,14728.2,14744.7,1,7264.899999999998,7479.800000000003,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,MARA17_non-st_A2.mp3,non-st,,44
8,1719927586063,02/07/2024 13:39:46,1719934786063,2,02/07/2024 17:39:46,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,response,Ich weiß es nicht,14082.8,14728.2,14744.7,14082.8,14728.2,14744.7,1,14082.8,661.9000000000015,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,MARA17_non-st_A2.mp3,non-st,,44
9,1719927587370,02/07/2024 13:39:47,1719934787370,2,02/07/2024 17:39:47,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,1323.800000000003,1307.300000000003,1323.800000000003,1323.800000000003,1307.300000000003,1323.800000000003,1,1323.800000000003,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,MARA17_st_A2.mp3,st,,44
10,1719927597484,02/07/2024 13:39:57,1719934797484,2,02/07/2024 17:39:57,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,11443.800000071526,11435,11443.800000071526,11443.800000071526,11435,11443.800000071526,1,11443.800000071526,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,MARA17_st_A2.mp3,st,,44
11,1719927598478,02/07/2024 13:39:58,1719934798478,2,02/07/2024 17:39:58,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,continue,,12437.300000071526,12427.900000000001,12437.300000071526,12437.300000071526,12427.900000000001,12437.300000071526,1,12437.300000071526,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,MARA17_st_A2.mp3,st,,44
12,1719927598480,02/07/2024 13:39:58,1719934798480,2,02/07/2024 17:39:58,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,response,2,4219.800000000003,12427.900000000001,12438.800000071526,4219.800000000003,12427.900000000001,12438.800000071526,1,4219.800000000003,8219.000000071523,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,MARA17_st_A2.mp3,st,,45
13,1719927598481,02/07/2024 13:39:58,1719934798481,2,02/07/2024 17:39:58,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,response,Ich weiß es nicht,11319.099999999999,12427.900000000001,12440.700000047684,11319.099999999999,12427.900000000001,12440.700000047684,1,11319.099999999999,1121.6000000476852,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,MARA17_st_A2.mp3,st,,45
14,1719927610972,02/07/2024 13:40:10,1719934810972,2,02/07/2024 17:40:10,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,continue,12493.999999999993,12477.499999999993,12493.999999999993,12493.999999999993,12477.499999999993,12493.999999999993,1,12493.999999999993,0,0,ResponseProgress,Click Response,Continue,5,object-1178,,Paradigm check,,,,46
15,1719927610978,02/07/2024 13:40:10,1719934810978,2,02/07/2024 17:40:10,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,nein,6205.699999999997,12477.499999999993,12493.999999999993,6205.699999999997,12477.499999999993,12493.999999999993,1,6205.699999999997,6288.299999999996,0,,Text Entry,Text Entry,3,object-1145,,Paradigm check,,,,46
16,1719927610979,02/07/2024 13:40:10,1719934810979,2,02/07/2024 17:40:10,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,nein,9730.400000000001,12477.499999999993,12493.999999999993,9730.400000000001,12477.499999999993,12493.999999999993,1,9730.400000000001,2763.5999999999913,0,,Text Entry,Text Entry,4,object-1146,,Paradigm check,,,,46
17,1719927612389,02/07/2024 13:40:12,1719934812389,2,02/07/2024 17:40:12,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,1,Instructions3,Screen 1,d2amsh,1,continue,,1439.6000000000058,1423.1000000000058,1439.6000000000058,1439.6000000000058,1423.1000000000058,1439.6000000000058,1,1439.6000000000058,0,0,,Click To Continue,Continue Button,2,object-1272,,Instructions3,,,,47
18,1719927612394,02/07/2024 13:40:12,1719934812394,2,02/07/2024 17:40:12,86579,59,task-brwb,,38683834,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,Origin_authenticity_M,Origin_authenticity_M,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,
1,1719927972696,02/07/2024 13:46:12,1719935172696,2,02/07/2024 17:46:12,86579,59,task-brwb,,38684618,280560572377190,11356355,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x585,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_3,,,Origin_authenticity_M,Origin_authenticity_M,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
