Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Audio,Spreadsheet: Variety,Manipulation: Spreadsheet,Store: Progress
1,1719927700620,02/07/2024 13:41:40,1719934900620,2,02/07/2024 17:41:40,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719927705772,02/07/2024 13:41:45,1719934905772,2,02/07/2024 17:41:45,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Political level,Screen 1,ptfor7,1,continue,,5164.58,5149.999999999998,5164.58,5164.58,5149.999999999998,5164.58,1,5164.58,0,0,,Click To Continue,Continue Button,1,object-19,,Political level,,,,37
3,1719927705772,02/07/2024 13:41:45,1719934905772,2,02/07/2024 17:41:45,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Political level,Screen 1,ptfor7,1,response,regional (z.B. in einem Landtag),4483.339999999998,5149.999999999998,5165.58,4483.339999999998,5149.999999999998,5165.58,1,4483.339999999998,682.2400000000016,0,,Dropdown,Dropdown,6,object-32,,Political level,,,,37
4,1719927709610,02/07/2024 13:41:49,1719934909610,2,02/07/2024 17:41:49,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,3853.5800000000017,3850,3853.5800000000017,3853.5800000000017,3850,3853.5800000000017,1,3853.5800000000017,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_non-st_A2.mp3,non-st,,37
5,1719927718060,02/07/2024 13:41:58,1719934918060,2,02/07/2024 17:41:58,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,12303.580000000002,12300,12303.580000000002,12303.580000000002,12300,12303.580000000002,1,12303.580000000002,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_non-st_A2.mp3,non-st,,37
6,1719927728579,02/07/2024 13:42:08,1719934928579,2,02/07/2024 17:42:08,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,continue,,22822.58,22816.660000000003,22822.58,22822.58,22816.660000000003,22822.58,1,22822.58,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,HUWA01_non-st_A2.mp3,non-st,,37
7,1719927728580,02/07/2024 13:42:08,1719934928580,2,02/07/2024 17:42:08,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,response,4,8933.34,22816.660000000003,22822.58,8933.34,22816.660000000003,22822.58,1,8933.34,13889.240000000002,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,HUWA01_non-st_A2.mp3,non-st,,38
8,1719927728580,02/07/2024 13:42:08,1719934928580,2,02/07/2024 17:42:08,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,response,Schwäbisch,12383.34,22816.660000000003,22822.58,12383.34,22816.660000000003,22822.58,1,12383.34,10439.240000000002,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,HUWA01_non-st_A2.mp3,non-st,,38
9,1719927730675,02/07/2024 13:42:10,1719934930675,2,02/07/2024 17:42:10,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,2101.9199999999983,2100,2101.9199999999983,2101.9199999999983,2100,2101.9199999999983,1,2101.9199999999983,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,ROHA11_st_A6.mp3,st,,38
10,1719927744267,02/07/2024 13:42:24,1719934944267,2,02/07/2024 17:42:24,86579,59,task-r61o,,38684080,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,continue,,15692.919999999998,15683.339999999997,15692.919999999998,15692.919999999998,15683.339999999997,15692.919999999998,1,15692.919999999998,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,ROHA11_st_A6.mp3,st,,38
